egg_id,hatch_date,status
F56_20,30/03/2025,missing
F57_12,30/03/2025,killed
F57_2,30/03/2025,killed
F64_16,30/03/2025,killed
F67_9,30/03/2025,dead
F69_1,30/03/2025,dead
F69_20,30/03/2025,killed
F135_3,28/03/2025,killed
F74_2,30/03/2025,
F86_10,30/03/2025,dead
F86_9,30/03/2025,killed
F93_10,30/03/2025,missing
F93_8,30/03/2025,missing
F135_4,04/04/2025,killed
F95_13,30/03/2025,killed
F95_16,30/03/2025,killed
F74_5,31/03/2025,killed
F140_9,31/03/2025,killed
F157_13,31/03/2025,killed
F43_2,31/03/2025,killed
F49_17,31/03/2025,killed
F135_9,31/03/2025,dead
F74_4,31/03/2025,killed
F157_2,31/03/2025,killed
F157_16,31/03/2025,killed
F15_14,31/03/2025,killed
F112_7,31/03/2025,missing
F103_20,31/03/2025,killed
F81_10,31/03/2025,missing
F21_10,31/03/2025,killed
F86_7,31/03/2025,killed
F140_20,31/03/2025,killed
F124_7,31/03/2025,dead
F27_20,31/03/2025,killed
F42_9,31/03/2025,missing
F49_16,31/03/2025,killed
F49_3,31/03/2025,dead
F52_12,31/03/2025,missing
F52_18,31/03/2025,missing
F44_15,31/03/2025,
F52_8,31/03/2025,killed
F52_14,31/03/2025,
F25_2,31/03/2025,killed
F69_17,31/03/2025,dead
F64_6,31/03/2025,killed
F50_10,31/03/2025,dead
F49_7,31/03/2025,missing
F56_7,31/03/2025,dead
F52_9,31/03/2025,missing
F68_8,31/03/2025,
F48_9,31/03/2025,
F48_18,31/03/2025,killed
F50_9,31/03/2025,
F25_8,31/03/2025,killed
F121_1,31/03/2025,killed
F110_9,31/03/2025,dead
F38_9,31/03/2025,missing
F25_19,31/03/2025,killed
F114_2,31/03/2025,
F20_5,31/03/2025,
F20_3,31/03/2025,killed
F15_2,31/03/2025,killed
F39_3,31/03/2025,missing
F1_10,31/03/2025,killed
F25_12,31/03/2025,killed
F95_3,31/03/2025,killed
F39_2,31/03/2025,killed
F118_16,31/03/2025,missing
F101_15,04/04/2025,killed
F67_11,01/04/2025,killed
F43_1,01/04/2025,killed
F46_7,01/04/2025,missing
F15_4,01/04/2025,killed
F101_20,04/04/2025,killed
F52_6,01/04/2025,killed
F101_6,11/04/2025,killed
F103_17,04/04/2025,killed
F103_4,04/04/2025,killed
F103_7,04/04/2025,killed
F17_1,01/04/2025,dead
F86_20,01/04/2025,killed
F112_16,01/04/2025,killed
F105_7,10/04/2025,killed
F105_8,07/04/2025,killed
F107_13,04/04/2025,killed
F167_10,01/04/2025,missing
F140_2,01/04/2025,dead
F110_1,04/04/2025,killed
F63_12,01/04/2025,missing
F126_13,01/04/2025,killed
F136_6,01/04/2025,killed
F110_11,03/04/2025,killed
F110_18,11/04/2025,killed
F110_6,11/04/2025,killed
F112_12,04/04/2025,killed
F165_1,01/04/2025,killed
