"TreeID","HalfDay","HalfGrad"
"T1",97.4614400826943,0.0470338667655731
"T10",100.432233115693,0.0435884357102311
"T11",98.6583576948369,0.046769470598848
"T12",94.3318303824841,0.0578184922778518
"T13",98.2351958749806,0.0403786422734183
"T14",98.3931460949248,0.0380862691613373
"T15",99.5208219374215,0.0427598911358112
"T16",98.358661241837,0.0450385694789174
"T17",109.294235771317,0.0248984618268113
"T18",117.724246440595,0.024974225430897
"T19",102.751112558722,0.0418847541464942
"T2",102.297714241603,0.0490989794846442
"T20",104.037295159926,0.0336155213749706
"T3",100.531026342095,0.0456657286310777
"T4",104.298149373327,0.0352319383715556
"T5",96.0456539658214,0.0608967094476725
"T6",100.765420311927,0.0457948656021888
"T7",103.04963707727,0.0332251837014801
"T8",96.7072963464517,0.0462634418210019
"T9",100.244090206684,0.0422962737092127
